month,date,hour,output
9,16,13,1.1129600
9,16,14,1.0883200
9,16,15,0.9959200
9,16,16,0.8319200
9,16,17,0.6033120
9,16,18,0.3119200
9,16,19,0.0144080
9,16,20,-0.0017440
9,16,21,-0.0017440
9,16,22,-0.0017440
9,16,23,-0.0017440
9,16,24,-0.0017440
9,17,1,-0.0017440
9,17,2,-0.0017440
9,17,3,-0.0017440
9,17,4,-0.0017440
9,17,5,-0.0017440
9,17,6,-0.0017440
9,17,7,-0.0017440
9,17,8,0.1807040
9,17,9,0.4968080
9,17,10,0.7733360
9,17,11,0.9763200
9,17,12,1.1016000
9,17,13,1.1528800
9,17,14,1.1314400
9,17,15,1.0389600
9,17,16,0.8718400
9,17,17,0.6302720
9,17,18,0.3206000
9,17,19,0.0132560
9,17,20,-0.0017440
9,17,21,-0.0017440
9,17,22,-0.0017440
9,17,23,-0.0017440
9,17,24,-0.0017440
9,18,1,-0.0017440
9,18,2,-0.0017440
9,18,3,-0.0017440
9,18,4,-0.0017440
9,18,5,-0.0017440
9,18,6,-0.0017440
9,18,7,-0.0017440
9,18,8,0.1665360
9,18,9,0.4722160
9,18,10,0.7436320
9,18,11,0.9436800
9,18,12,1.0642400
9,18,13,1.1108800
9,18,14,1.0896800
9,18,15,0.9980800
9,18,16,0.8387200
9,18,17,0.6018880
9,18,18,0.3034240
9,18,19,0.0130880
9,18,20,-0.0017440
9,18,21,-0.0017440
9,18,22,-0.0017440
9,18,23,-0.0017440
9,18,24,-0.0017440
9,19,1,-0.0017440
9,19,2,-0.0017440
9,19,3,-0.0017440
9,19,4,-0.0017440
9,19,5,-0.0017440
9,19,6,-0.0017440
9,19,7,-0.0017440
9,19,8,0.1982880
9,19,9,0.5394080
9,19,10,0.8304000
9,19,11,1.0348800
9,19,12,1.1546400
9,19,13,1.1620000
9,19,14,1.1573600
9,19,15,1.0698400
9,19,16,0.8915200
9,19,17,0.6380000
9,19,18,0.3154320
9,19,19,0.0078560
9,19,20,-0.0017440
9,19,21,-0.0017440
